Algo,N,WorstCase,BestCase
1,100000,0.000284700,0.000000100
2,100000,0.000387000,0.000173800
3,100000,0.000000300,0.000000200
1,200000,0.000644300,0.000000100
2,200000,0.000747300,0.000406800
3,200000,0.000000600,0.000000500
1,400000,0.001179900,0.000000100
2,400000,0.001573000,0.000662800
3,400000,0.000000600,0.000000400
1,600000,0.001729600,0.000000100
2,600000,0.001571700,0.000743000
3,600000,0.000000500,0.000000800
1,800000,0.002330300,0.000000100
2,800000,0.001910100,0.000977000
3,800000,0.000000200,0.000000000
1,1000000,0.002750100,0.000000100
2,1000000,0.002207600,0.001060400
3,1000000,0.000000300,0.000000400
1,1200000,0.003102600,0.000000100
2,1200000,0.002896700,0.001712300
3,1200000,0.000000500,0.000000700
1,1400000,0.003277500,0.000000000
2,1400000,0.003152500,0.001660000
3,1400000,0.000000400,0.000000500
1,1600000,0.003967300,0.000000100
2,1600000,0.003850200,0.001911000
3,1600000,0.000000300,0.000000500
1,1800000,0.004157600,0.000000100
2,1800000,0.003902900,0.001915300
3,1800000,0.000000500,0.000000100
